dataset,design,error,exact_result,filename,mean_approx_result,query,result_size,sampling_rate,selectivity
skew,SdWithRedundancy,5.650,1160613740,SdWithRedundancy_03-samplingRate1.00pc.log,1160242677,3,1005,1,-1
skew,SdWithRedundancy,4.001,1160613740,SdWithRedundancy_03-samplingRate2.00pc.log,1158936364,3,1005,2,-1
skew,SdWithRedundancy,2.459,1160613740,SdWithRedundancy_03-samplingRate5.00pc.log,1160751576,3,1005,5,-1
skew,SdWithRedundancy,1.598,1160613740,SdWithRedundancy_03-samplingRate10.0pc.log,1161800470,3,1005,10,-1
skew,SdWithRedundancy,1.110,1160613740,SdWithRedundancy_03-samplingRate20.0pc.log,1161030637,3,1005,20,-1
skew,SdWithRedundancy,0.561,1160613740,SdWithRedundancy_03-samplingRate50.0pc.log,1160342140,3,1005,50,-1
skew,SdWithRedundancy,2.506,3267759356,SdWithRedundancy_Selectivity01_03-samplingRate1.00pc.log,3266424537,3,1005,1,1
skew,SdWithRedundancy,1.817,3267759356,SdWithRedundancy_Selectivity01_03-samplingRate2.00pc.log,3270001524,3,1005,2,1
skew,SdWithRedundancy,1.089,3267759356,SdWithRedundancy_Selectivity01_03-samplingRate5.00pc.log,3268091934,3,1005,5,1
skew,SdWithRedundancy,0.736,3267759356,SdWithRedundancy_Selectivity01_03-samplingRate10.0pc.log,3268335146,3,1005,10,1
skew,SdWithRedundancy,0.518,3267759356,SdWithRedundancy_Selectivity01_03-samplingRate20.0pc.log,3267698899,3,1005,20,1
skew,SdWithRedundancy,0.240,3267759356,SdWithRedundancy_Selectivity01_03-samplingRate50.0pc.log,3267156209,3,1005,50,1
skew,SdWithRedundancy,0.653,58993936852,SdWithRedundancy_Selectivity20_03-samplingRate1.00pc.log,58993553270,3,1005,1,20
skew,SdWithRedundancy,0.430,58993936852,SdWithRedundancy_Selectivity20_03-samplingRate2.00pc.log,58997864408,3,1005,2,20
skew,SdWithRedundancy,0.277,58993936852,SdWithRedundancy_Selectivity20_03-samplingRate5.00pc.log,58979021411,3,1005,5,20
skew,SdWithRedundancy,0.192,58993936852,SdWithRedundancy_Selectivity20_03-samplingRate10.0pc.log,58994688609,3,1005,10,20
skew,SdWithRedundancy,0.125,58993936852,SdWithRedundancy_Selectivity20_03-samplingRate20.0pc.log,58994319283,3,1005,20,20
skew,SdWithRedundancy,0.065,58993936852,SdWithRedundancy_Selectivity20_03-samplingRate50.0pc.log,58993834505,3,1005,50,20
skew,SdWithRedundancy,0.087,2319638613721,SdWithRedundancy_Selectivity80_03-samplingRate1.00pc.log,2319533957656,3,1005,1,80
skew,SdWithRedundancy,0.062,2319638613721,SdWithRedundancy_Selectivity80_03-samplingRate2.00pc.log,2319666292859,3,1005,2,80
skew,SdWithRedundancy,0.040,2319638613721,SdWithRedundancy_Selectivity80_03-samplingRate5.00pc.log,2319555862772,3,1005,5,80
skew,SdWithRedundancy,0.027,2319638613721,SdWithRedundancy_Selectivity80_03-samplingRate10.0pc.log,2319625654572,3,1005,10,80
skew,SdWithRedundancy,0.017,2319638613721,SdWithRedundancy_Selectivity80_03-samplingRate20.0pc.log,2319661913411,3,1005,20,80
skew,SdWithRedundancy,0.009,2319638613721,SdWithRedundancy_Selectivity80_03-samplingRate50.0pc.log,2319625974012,3,1005,50,80
skew,SdWoRedundancy,12.386,1160613740,SdWoRedundancy_03-samplingRate1.00pc.log,1167797743,3,1005,1,-1
