dataset,design,error,exact_result,filename,mean_approx_result,query,result_size,sampling_rate,selectivity
uniform,SdWithRedundancy,0.542,108609017910,SdWithRedundancy_03-samplingRate1.00pc.log,108582121263,3,1005,1,-1
uniform,SdWithRedundancy,0.377,108609017910,SdWithRedundancy_03-samplingRate2.00pc.log,108618406576,3,1005,2,-1
uniform,SdWithRedundancy,0.234,108609017910,SdWithRedundancy_03-samplingRate5.00pc.log,108598959149,3,1005,5,-1
uniform,SdWithRedundancy,0.161,108609017910,SdWithRedundancy_03-samplingRate10.0pc.log,108607969027,3,1005,10,-1
uniform,SdWithRedundancy,0.106,108609017910,SdWithRedundancy_03-samplingRate20.0pc.log,108608180537,3,1005,20,-1
uniform,SdWithRedundancy,0.055,108609017910,SdWithRedundancy_03-samplingRate50.0pc.log,108607107464,3,1005,50,-1
uniform,SdWithRedundancy,0.845,42558390697,SdWithRedundancy_Selectivity01_03-samplingRate1.00pc.log,42554451190,3,1005,1,1
uniform,SdWithRedundancy,0.603,42558390697,SdWithRedundancy_Selectivity01_03-samplingRate2.00pc.log,42560361703,3,1005,2,1
uniform,SdWithRedundancy,0.370,42558390697,SdWithRedundancy_Selectivity01_03-samplingRate5.00pc.log,42558834799,3,1005,5,1
uniform,SdWithRedundancy,0.254,42558390697,SdWithRedundancy_Selectivity01_03-samplingRate10.0pc.log,42557163550,3,1005,10,1
uniform,SdWithRedundancy,0.174,42558390697,SdWithRedundancy_Selectivity01_03-samplingRate20.0pc.log,42557273258,3,1005,20,1
uniform,SdWithRedundancy,0.087,42558390697,SdWithRedundancy_Selectivity01_03-samplingRate50.0pc.log,42558021799,3,1005,50,1
uniform,SdWithRedundancy,0.588,86336968850,SdWithRedundancy_Selectivity02_03-samplingRate1.00pc.log,86345169476,3,1005,1,2
uniform,SdWithRedundancy,0.423,86336968850,SdWithRedundancy_Selectivity02_03-samplingRate2.00pc.log,86350187852,3,1005,2,2
uniform,SdWithRedundancy,0.274,86336968850,SdWithRedundancy_Selectivity02_03-samplingRate5.00pc.log,86333839594,3,1005,5,2
uniform,SdWithRedundancy,0.178,86336968850,SdWithRedundancy_Selectivity02_03-samplingRate10.0pc.log,86339611125,3,1005,10,2
uniform,SdWithRedundancy,0.120,86336968850,SdWithRedundancy_Selectivity02_03-samplingRate20.0pc.log,86337257690,3,1005,20,2
uniform,SdWithRedundancy,0.061,86336968850,SdWithRedundancy_Selectivity02_03-samplingRate50.0pc.log,86340045450,3,1005,50,2
uniform,SdWithRedundancy,0.560,108817825831,SdWithRedundancy_Selectivity05_03-samplingRate1.00pc.log,108862844766,3,1005,1,5
uniform,SdWithRedundancy,0.370,108817825831,SdWithRedundancy_Selectivity05_03-samplingRate2.00pc.log,108817843326,3,1005,2,5
uniform,SdWithRedundancy,0.236,108817825831,SdWithRedundancy_Selectivity05_03-samplingRate5.00pc.log,108829426281,3,1005,5,5
uniform,SdWithRedundancy,0.164,108817825831,SdWithRedundancy_Selectivity05_03-samplingRate10.0pc.log,108809059597,3,1005,10,5
uniform,SdWithRedundancy,0.105,108817825831,SdWithRedundancy_Selectivity05_03-samplingRate20.0pc.log,108820973334,3,1005,20,5
uniform,SdWithRedundancy,0.052,108817825831,SdWithRedundancy_Selectivity05_03-samplingRate50.0pc.log,108813157682,3,1005,50,5
uniform,SdWithRedundancy,0.523,108742247967,SdWithRedundancy_Selectivity10_03-samplingRate1.00pc.log,108777051218,3,1005,1,10
uniform,SdWithRedundancy,0.378,108742247967,SdWithRedundancy_Selectivity10_03-samplingRate2.00pc.log,108739647467,3,1005,2,10
uniform,SdWithRedundancy,0.227,108742247967,SdWithRedundancy_Selectivity10_03-samplingRate5.00pc.log,108742127961,3,1005,5,10
uniform,SdWithRedundancy,0.167,108742247967,SdWithRedundancy_Selectivity10_03-samplingRate10.0pc.log,108748181435,3,1005,10,10
uniform,SdWithRedundancy,0.105,108742247967,SdWithRedundancy_Selectivity10_03-samplingRate20.0pc.log,108741714124,3,1005,20,10
uniform,SdWithRedundancy,0.056,108742247967,SdWithRedundancy_Selectivity10_03-samplingRate50.0pc.log,108741935067,3,1005,50,10
uniform,SdWithRedundancy,0.538,108753483234,SdWithRedundancy_Selectivity20_03-samplingRate1.00pc.log,108770890230,3,1005,1,20
uniform,SdWithRedundancy,0.385,108753483234,SdWithRedundancy_Selectivity20_03-samplingRate2.00pc.log,108764819122,3,1005,2,20
uniform,SdWithRedundancy,0.236,108753483234,SdWithRedundancy_Selectivity20_03-samplingRate5.00pc.log,108764761066,3,1005,5,20
uniform,SdWithRedundancy,0.171,108753483234,SdWithRedundancy_Selectivity20_03-samplingRate10.0pc.log,108758295989,3,1005,10,20
uniform,SdWithRedundancy,0.107,108753483234,SdWithRedundancy_Selectivity20_03-samplingRate20.0pc.log,108751214178,3,1005,20,20
